week,trx,hcp_detailing_spend,conferences_spend,digital_spend,email_spend,dtc_tv_spend,hcp_calls,competitor_active,pbm_preferred_share
2024-07-08,12436,196001,0,96501,13431,415599,475,0,0.38
2024-07-15,12149,172052,0,134892,5144,0,443,0,0.38
2024-07-22,11387,195350,0,152489,0,0,465,0,0.38
2024-07-29,11312,204620,0,154963,3722,0,465,0,0.38
2024-08-05,10492,210374,0,44300,4696,0,506,0,0.38
2024-08-12,10213,181015,0,40585,3808,0,421,0,0.38
2024-08-19,10080,192066,0,50353,0,0,467,0,0.38
2024-08-26,11687,198598,469484,48777,6305,0,467,0,0.38
2024-09-02,11375,212985,56338,75136,8751,0,498,0,0.38
2024-09-09,11493,169240,0,93386,6374,336875,433,0,0.38
2024-09-16,11757,194644,0,91075,0,426681,489,0,0.38
2024-09-23,12821,175356,0,104938,8358,446929,437,0,0.38
2024-09-30,12980,180797,0,98010,7157,494766,440,0,0.38
2024-10-07,13285,189110,0,95492,3968,524919,453,0,0.38
2024-10-14,12879,195101,0,98902,0,471861,484,0,0.38
2024-10-21,15049,227478,506018,96266,4361,540881,539,0,0.38
2024-10-28,14235,187970,60722,107048,4649,384102,457,0,0.38
2024-11-04,12781,206882,0,15068,3990,0,526,0,0.38
2024-11-11,11203,180388,0,11055,0,0,432,0,0.38
2024-11-18,11099,184701,0,12007,10767,0,450,0,0.38
2024-11-25,11400,139824,0,65551,13050,0,341,0,0.38
2024-12-02,11526,182672,0,76417,11885,0,420,0,0.38
2024-12-09,11505,203831,0,78874,0,0,516,0,0.38
2024-12-16,13418,182325,659495,93286,11044,0,447,0,0.38
2024-12-23,12149,91487,79139,62550,9691,0,221,0,0.38
2024-12-30,10784,86271,0,66251,5147,0,228,0,0.38
2025-01-06,11389,201448,0,73762,0,0,511,0,0.38
2025-01-13,11613,214411,0,80043,4392,0,529,0,0.38
2025-01-20,11636,170929,0,88307,4237,0,399,0,0.38
2025-01-27,12476,203856,0,87888,4713,318144,502,0,0.38
2025-02-03,13002,192795,0,185048,0,420709,441,0,0.38
2025-02-10,13448,198393,0,188953,5583,478247,507,0,0.38
2025-02-17,13982,185884,0,181017,5988,479282,422,0,0.38
2025-02-24,13745,202484,0,98263,5516,439692,512,0,0.38
2025-03-03,13697,185368,0,105070,0,496213,440,0,0.38
2025-03-10,13997,206243,0,104656,5685,443984,460,0,0.38
2025-03-17,15183,204518,639485,96670,6485,432011,486,0,0.38
2025-03-24,13861,186050,76738,76548,4545,0,431,1,0.38
2025-03-31,11452,197184,0,22705,0,0,461,1,0.38
2025-04-07,10755,208730,0,19347,2823,0,487,1,0.38
2025-04-14,10014,189350,0,25133,3863,0,443,1,0.38
2025-04-21,10490,188143,0,126596,4017,0,470,1,0.38
2025-04-28,10331,197784,0,140600,0,0,475,1,0.38
2025-05-05,12950,214243,655173,157313,13268,322860,504,1,0.38
2025-05-12,12716,221083,78621,98940,13017,489536,488,1,0.38
2025-05-19,12224,157758,0,166052,10728,437134,380,1,0.38
2025-05-26,12369,198111,0,194265,0,537250,505,1,0.38
2025-06-02,12920,176463,0,176355,11396,500130,414,1,0.38
2025-06-09,12373,154916,0,101280,9623,400540,369,1,0.38
2025-06-16,12333,188058,0,111364,4710,472324,424,1,0.38
2025-06-23,11691,188749,0,87802,0,430164,460,1,0.38
2025-06-30,11483,162184,0,89914,6746,0,369,1,0.38
2025-07-07,10471,122223,0,98091,4922,0,294,1,0.38
2025-07-14,10560,161335,0,94546,5450,0,383,1,0.38
2025-07-21,9349,161254,0,84878,0,0,380,1,0.38
2025-07-28,9815,173889,0,101833,5830,0,422,1,0.38
2025-08-04,9643,171518,0,48281,9550,0,409,1,0.38
2025-08-11,9744,167001,0,55603,7012,0,388,1,0.38
2025-08-18,8732,155748,0,39340,0,0,379,1,0.38
2025-08-25,10347,163166,0,61476,10025,394420,390,1,0.38
2025-09-01,12247,163315,492327,100914,11512,481495,366,1,0.38
2025-09-08,13087,164252,59079,197952,9689,513733,376,1,0.38
2025-09-15,12306,159685,0,185069,0,468633,389,1,0.38
2025-09-22,12943,168201,0,220530,9412,527640,393,1,0.38
2025-09-29,12643,144386,0,96492,10660,416187,295,1,0.38
2025-10-06,12980,146023,0,116779,4439,470422,371,1,0.61
2025-10-13,13235,183744,0,191702,0,407772,442,1,0.61
2025-10-20,11947,152020,0,23173,12889,0,370,1,0.61
2025-10-27,11131,142326,0,29649,10168,0,342,1,0.61
2025-11-03,12272,175693,516881,15390,13696,0,431,1,0.61
2025-11-10,11496,148073,62026,95311,0,0,344,1,0.61
2025-11-17,11182,153504,0,92367,8974,0,365,1,0.61
2025-11-24,11150,114740,0,152151,11783,0,255,1,0.61
2025-12-01,11808,185593,0,166596,7386,0,469,1,0.61
2025-12-08,11285,174899,0,200251,0,0,424,1,0.61
2025-12-15,12439,146796,399614,104908,5206,0,330,1,0.61
2025-12-22,11498,60089,47954,75015,7077,0,145,1,0.61
2025-12-29,10937,76797,0,91063,7811,0,175,1,0.61
2026-01-05,11402,183031,0,108135,0,0,433,1,0.61
2026-01-12,11795,162394,0,199052,12718,271733,391,1,0.61
2026-01-19,12854,150551,0,198784,12609,420070,376,1,0.61
2026-01-26,13455,157063,0,214561,11767,356917,361,1,0.61
2026-02-02,13126,183809,0,135699,0,423455,437,1,0.61
2026-02-09,13155,149342,0,111345,13051,392998,362,1,0.61
2026-02-16,12827,141364,0,16953,14207,373418,348,1,0.61
2026-02-23,12326,160889,0,16205,8140,373483,395,1,0.61
2026-03-02,13266,159410,749773,15684,0,308714,392,1,0.61
2026-03-09,13277,160059,89973,92793,5733,0,386,1,0.61
2026-03-16,12001,164637,0,94447,7474,0,404,1,0.61
2026-03-23,11276,185385,0,89082,5445,0,438,1,0.61
2026-03-30,10892,162124,0,77386,0,0,396,1,0.61
2026-04-06,11261,182244,0,103917,15911,0,406,1,0.61
2026-04-13,11291,172675,0,122463,11479,0,427,1,0.61
2026-04-20,10552,161114,0,88088,11525,0,397,1,0.61
2026-04-27,10359,153502,0,100372,0,0,383,1,0.61
2026-05-04,11348,149829,0,99101,10939,268683,363,1,0.61
2026-05-11,13622,172059,513323,122214,14950,408375,403,1,0.61
2026-05-18,13513,168818,61599,231131,7560,442068,409,1,0.61
2026-05-25,12743,190766,0,198735,0,374965,496,1,0.61
2026-06-01,13073,166559,0,187815,13591,368665,407,1,0.61
2026-06-08,13374,149780,0,216567,10620,391035,338,1,0.61
2026-06-15,12923,158162,0,112943,14666,352105,381,1,0.61
2026-06-22,12554,147852,0,109645,0,354407,343,1,0.61
