dma,week,period,group,trx,dtc_tv_spend_alloc
DMA005,2026-02-16,test,exposed,427,12392
DMA005,2026-02-23,test,exposed,408,12394
DMA005,2026-03-02,test,exposed,425,10245
DMA006,2025-11-17,pre,exposed,147,0
DMA006,2025-11-24,pre,exposed,153,0
DMA006,2025-12-01,pre,exposed,173,0
DMA006,2025-12-08,pre,exposed,162,0
DMA006,2025-12-15,pre,exposed,178,0
DMA006,2025-12-22,pre,exposed,156,0
DMA006,2025-12-29,pre,exposed,150,0
DMA006,2026-01-05,pre,exposed,158,0
DMA006,2026-01-12,test,exposed,180,4316
DMA006,2026-01-19,test,exposed,182,6673
DMA006,2026-01-26,test,exposed,194,5670
DMA006,2026-02-02,test,exposed,179,6726
DMA006,2026-02-09,test,exposed,187,6243
DMA006,2026-02-16,test,exposed,178,5932
DMA006,2026-02-23,test,exposed,174,5933
DMA006,2026-03-02,test,exposed,195,4904
DMA007,2025-11-17,pre,exposed,405,0
DMA007,2025-11-24,pre,exposed,400,0
DMA007,2025-12-01,pre,exposed,445,0
DMA007,2025-12-08,pre,exposed,425,0
DMA007,2025-12-15,pre,exposed,429,0
DMA007,2025-12-22,pre,exposed,411,0
DMA007,2025-12-29,pre,exposed,396,0
DMA007,2026-01-05,pre,exposed,432,0
DMA007,2026-01-12,test,exposed,440,9444
DMA007,2026-01-19,test,exposed,448,14599
DMA007,2026-01-26,test,exposed,494,12404
DMA007,2026-02-02,test,exposed,469,14717
DMA007,2026-02-09,test,exposed,484,13658
DMA007,2026-02-16,test,exposed,438,12978
DMA007,2026-02-23,test,exposed,437,12980
DMA007,2026-03-02,test,exposed,480,10729
DMA008,2025-11-17,pre,holdout,92,0
DMA008,2025-11-24,pre,holdout,90,0
DMA008,2025-12-01,pre,holdout,97,0
DMA008,2025-12-08,pre,holdout,94,0
DMA008,2025-12-15,pre,holdout,109,0
DMA008,2025-12-22,pre,holdout,93,0
DMA008,2025-12-29,pre,holdout,88,0
DMA008,2026-01-05,pre,holdout,97,0
DMA008,2026-01-12,test,holdout,103,0
DMA008,2026-01-19,test,holdout,95,0
DMA008,2026-01-26,test,holdout,102,0
DMA008,2026-02-02,test,holdout,96,0
DMA008,2026-02-09,test,holdout,97,0
DMA008,2026-02-16,test,holdout,89,0
DMA008,2026-02-23,test,holdout,88,0
DMA008,2026-03-02,test,holdout,89,0
DMA009,2025-11-17,pre,exposed,195,0
DMA009,2025-11-24,pre,exposed,189,0
DMA009,2025-12-01,pre,exposed,201,0
DMA009,2025-12-08,pre,exposed,203,0
DMA009,2025-12-15,pre,exposed,234,0
DMA009,2025-12-22,pre,exposed,192,0
DMA009,2025-12-29,pre,exposed,192,0
DMA009,2026-01-05,pre,exposed,206,0
DMA009,2026-01-12,test,exposed,212,4307
DMA009,2026-01-19,test,exposed,219,6659
DMA009,2026-01-26,test,exposed,246,5658
DMA009,2026-02-02,test,exposed,228,6712
DMA009,2026-02-09,test,exposed,232,6230
DMA009,2026-02-16,test,exposed,223,5919
DMA009,2026-02-23,test,exposed,225,5920
DMA009,2026-03-02,test,exposed,234,4894
DMA010,2025-11-17,pre,exposed,521,0
DMA010,2025-11-24,pre,exposed,523,0
DMA010,2025-12-01,pre,exposed,557,0
DMA010,2025-12-08,pre,exposed,508,0
DMA010,2025-12-15,pre,exposed,536,0
DMA010,2025-12-22,pre,exposed,492,0
DMA010,2025-12-29,pre,exposed,467,0
DMA010,2026-01-05,pre,exposed,539,0
DMA010,2026-01-12,test,exposed,513,11686
DMA010,2026-01-19,test,exposed,582,18065
DMA010,2026-01-26,test,exposed,584,15349
DMA010,2026-02-02,test,exposed,584,18210
DMA010,2026-02-09,test,exposed,573,16901
DMA010,2026-02-16,test,exposed,570,16059
DMA010,2026-02-23,test,exposed,544,16061
DMA010,2026-03-02,test,exposed,599,13276
DMA011,2025-11-17,pre,exposed,478,0
DMA011,2025-11-24,pre,exposed,437,0
DMA011,2025-12-01,pre,exposed,480,0
DMA011,2025-12-08,pre,exposed,483,0
DMA011,2025-12-15,pre,exposed,513,0
DMA011,2025-12-22,pre,exposed,490,0
DMA011,2025-12-29,pre,exposed,488,0
DMA011,2026-01-05,pre,exposed,486,0
DMA011,2026-01-12,test,exposed,492,11079
DMA011,2026-01-19,test,exposed,533,17127
DMA011,2026-01-26,test,exposed,546,14552
DMA011,2026-02-02,test,exposed,518,17265
DMA011,2026-02-09,test,exposed,519,16023
DMA011,2026-02-16,test,exposed,542,15225
DMA011,2026-02-23,test,exposed,514,15227
DMA011,2026-03-02,test,exposed,561,12587
DMA012,2025-11-17,pre,exposed,222,0
DMA012,2025-11-24,pre,exposed,218,0
DMA012,2025-12-01,pre,exposed,236,0
DMA012,2025-12-08,pre,exposed,229,0
DMA012,2025-12-15,pre,exposed,257,0
DMA012,2025-12-22,pre,exposed,230,0
DMA012,2025-12-29,pre,exposed,231,0
DMA012,2026-01-05,pre,exposed,236,0
DMA012,2026-01-12,test,exposed,240,5285
DMA012,2026-01-19,test,exposed,263,8170
DMA012,2026-01-26,test,exposed,282,6942
DMA012,2026-02-02,test,exposed,271,8236
DMA012,2026-02-09,test,exposed,263,7643
DMA012,2026-02-16,test,exposed,256,7262
DMA012,2026-02-23,test,exposed,250,7264
DMA012,2026-03-02,test,exposed,274,6004
DMA013,2025-11-17,pre,exposed,411,0
DMA013,2025-11-24,pre,exposed,406,0
DMA013,2025-12-01,pre,exposed,442,0
DMA013,2025-12-08,pre,exposed,412,0
DMA013,2025-12-15,pre,exposed,456,0
DMA013,2025-12-22,pre,exposed,409,0
DMA013,2025-12-29,pre,exposed,435,0
DMA013,2026-01-05,pre,exposed,419,0
DMA013,2026-01-12,test,exposed,450,11247
DMA013,2026-01-19,test,exposed,489,17386
DMA013,2026-01-26,test,exposed,523,14772
DMA013,2026-02-02,test,exposed,502,17526
DMA013,2026-02-09,test,exposed,491,16266
DMA013,2026-02-16,test,exposed,498,15455
DMA013,2026-02-23,test,exposed,473,15458
DMA013,2026-03-02,test,exposed,519,12777
DMA014,2025-11-17,pre,holdout,168,0
DMA014,2025-11-24,pre,holdout,172,0
DMA014,2025-12-01,pre,holdout,182,0
DMA014,2025-12-08,pre,holdout,176,0
DMA014,2025-12-15,pre,holdout,189,0
DMA014,2025-12-22,pre,holdout,192,0
DMA014,2025-12-29,pre,holdout,179,0
DMA014,2026-01-05,pre,holdout,184,0
DMA014,2026-01-12,test,holdout,187,0
DMA014,2026-01-19,test,holdout,194,0
DMA014,2026-01-26,test,holdout,178,0
DMA014,2026-02-02,test,holdout,180,0
DMA014,2026-02-09,test,holdout,176,0
DMA014,2026-02-16,test,holdout,176,0
DMA014,2026-02-23,test,holdout,159,0
DMA014,2026-03-02,test,holdout,180,0
DMA015,2025-11-17,pre,exposed,197,0
DMA015,2025-11-24,pre,exposed,200,0
DMA015,2025-12-01,pre,exposed,201,0
DMA015,2025-12-08,pre,exposed,201,0
DMA015,2025-12-15,pre,exposed,210,0
DMA015,2025-12-22,pre,exposed,204,0
DMA015,2025-12-29,pre,exposed,198,0
DMA015,2026-01-05,pre,exposed,200,0
DMA015,2026-01-12,test,exposed,203,4791
DMA015,2026-01-19,test,exposed,226,7406
DMA015,2026-01-26,test,exposed,236,6293
DMA015,2026-02-02,test,exposed,228,7466
DMA015,2026-02-09,test,exposed,225,6929
DMA015,2026-02-16,test,exposed,225,6584
DMA015,2026-02-23,test,exposed,199,6585
DMA015,2026-03-02,test,exposed,226,5443
DMA016,2025-11-17,pre,exposed,313,0
DMA016,2025-11-24,pre,exposed,317,0
DMA016,2025-12-01,pre,exposed,338,0
DMA016,2025-12-08,pre,exposed,322,0
DMA016,2025-12-15,pre,exposed,332,0
DMA016,2025-12-22,pre,exposed,340,0
DMA016,2025-12-29,pre,exposed,316,0
DMA016,2026-01-05,pre,exposed,324,0
DMA016,2026-01-12,test,exposed,338,7508
DMA016,2026-01-19,test,exposed,362,11607
DMA016,2026-01-26,test,exposed,376,9862
DMA016,2026-02-02,test,exposed,382,11700
DMA016,2026-02-09,test,exposed,376,10859
DMA016,2026-02-16,test,exposed,341,10318
DMA016,2026-02-23,test,exposed,353,10320
DMA016,2026-03-02,test,exposed,389,8530
DMA017,2025-11-17,pre,exposed,170,0
DMA017,2025-11-24,pre,exposed,168,0
DMA017,2025-12-01,pre,exposed,192,0
DMA017,2025-12-08,pre,exposed,167,0
DMA017,2025-12-15,pre,exposed,194,0
DMA017,2025-12-22,pre,exposed,182,0
DMA017,2025-12-29,pre,exposed,170,0
DMA017,2026-01-05,pre,exposed,184,0
DMA017,2026-01-12,test,exposed,186,3983
DMA017,2026-01-19,test,exposed,197,6157
DMA017,2026-01-26,test,exposed,205,5232
DMA017,2026-02-02,test,exposed,197,6207
DMA017,2026-02-09,test,exposed,209,5760
DMA017,2026-02-16,test,exposed,193,5473
DMA017,2026-02-23,test,exposed,192,5474
DMA017,2026-03-02,test,exposed,202,4525
DMA018,2025-11-17,pre,exposed,109,0
DMA018,2025-11-24,pre,exposed,103,0
DMA018,2025-12-01,pre,exposed,113,0
DMA018,2025-12-08,pre,exposed,104,0
DMA018,2025-12-15,pre,exposed,113,0
DMA018,2025-12-22,pre,exposed,104,0
DMA018,2025-12-29,pre,exposed,105,0
DMA018,2026-01-05,pre,exposed,105,0
DMA018,2026-01-12,test,exposed,107,2428
DMA018,2026-01-19,test,exposed,123,3753
DMA018,2026-01-26,test,exposed,125,3189
DMA018,2026-02-02,test,exposed,121,3783
DMA018,2026-02-09,test,exposed,122,3511
DMA018,2026-02-16,test,exposed,119,3336
DMA018,2026-02-23,test,exposed,116,3337
DMA018,2026-03-02,test,exposed,123,2758
DMA019,2025-11-17,pre,exposed,225,0
DMA019,2025-11-24,pre,exposed,216,0
DMA019,2025-12-01,pre,exposed,227,0
DMA019,2025-12-08,pre,exposed,216,0
DMA019,2025-12-15,pre,exposed,244,0
DMA019,2025-12-22,pre,exposed,223,0
DMA019,2025-12-29,pre,exposed,220,0
DMA019,2026-01-05,pre,exposed,224,0
DMA019,2026-01-12,test,exposed,232,4988
DMA019,2026-01-19,test,exposed,244,7711
DMA019,2026-01-26,test,exposed,259,6552
DMA019,2026-02-02,test,exposed,255,7773
DMA019,2026-02-09,test,exposed,257,7214
DMA019,2026-02-16,test,exposed,244,6854
DMA019,2026-02-23,test,exposed,249,6856
DMA019,2026-03-02,test,exposed,256,5667
DMA020,2025-11-17,pre,holdout,466,0
DMA020,2025-11-24,pre,holdout,489,0
DMA020,2025-12-01,pre,holdout,535,0
DMA020,2025-12-08,pre,holdout,455,0
DMA020,2025-12-15,pre,holdout,556,0
DMA020,2025-12-22,pre,holdout,498,0
DMA020,2025-12-29,pre,holdout,462,0
DMA020,2026-01-05,pre,holdout,474,0
DMA020,2026-01-12,test,holdout,480,0
DMA020,2026-01-19,test,holdout,489,0
DMA020,2026-01-26,test,holdout,507,0
DMA020,2026-02-02,test,holdout,496,0
DMA020,2026-02-09,test,holdout,492,0
DMA020,2026-02-16,test,holdout,465,0
DMA020,2026-02-23,test,holdout,444,0
DMA020,2026-03-02,test,holdout,477,0
DMA021,2025-11-17,pre,exposed,315,0
DMA021,2025-11-24,pre,exposed,334,0
DMA021,2025-12-01,pre,exposed,336,0
DMA021,2025-12-08,pre,exposed,326,0
DMA021,2025-12-15,pre,exposed,367,0
DMA021,2025-12-22,pre,exposed,343,0
DMA021,2025-12-29,pre,exposed,321,0
DMA021,2026-01-05,pre,exposed,335,0
DMA021,2026-01-12,test,exposed,338,7273
DMA021,2026-01-19,test,exposed,365,11243
DMA021,2026-01-26,test,exposed,380,9552
DMA021,2026-02-02,test,exposed,373,11333
DMA021,2026-02-09,test,exposed,373,10518
DMA021,2026-02-16,test,exposed,387,9994
DMA021,2026-02-23,test,exposed,357,9996
DMA021,2026-03-02,test,exposed,379,8262
DMA022,2025-11-17,pre,holdout,329,0
DMA022,2025-11-24,pre,holdout,323,0
DMA022,2025-12-01,pre,holdout,338,0
DMA022,2025-12-08,pre,holdout,324,0
DMA022,2025-12-15,pre,holdout,367,0
DMA022,2025-12-22,pre,holdout,332,0
DMA022,2025-12-29,pre,holdout,314,0
DMA022,2026-01-05,pre,holdout,332,0
DMA022,2026-01-12,test,holdout,323,0
DMA022,2026-01-19,test,holdout,357,0
DMA022,2026-01-26,test,holdout,346,0
DMA022,2026-02-02,test,holdout,315,0
DMA022,2026-02-09,test,holdout,339,0
DMA022,2026-02-16,test,holdout,325,0
DMA022,2026-02-23,test,holdout,294,0
DMA022,2026-03-02,test,holdout,330,0
DMA023,2025-11-17,pre,holdout,235,0
DMA023,2025-11-24,pre,holdout,227,0
DMA023,2025-12-01,pre,holdout,243,0
DMA023,2025-12-08,pre,holdout,236,0
DMA023,2025-12-15,pre,holdout,263,0
DMA023,2025-12-22,pre,holdout,238,0
DMA023,2025-12-29,pre,holdout,234,0
DMA023,2026-01-05,pre,holdout,224,0
DMA023,2026-01-12,test,holdout,227,0
DMA023,2026-01-19,test,holdout,251,0
DMA023,2026-01-26,test,holdout,232,0
DMA023,2026-02-02,test,holdout,229,0
DMA023,2026-02-09,test,holdout,228,0
DMA023,2026-02-16,test,holdout,210,0
DMA023,2026-02-23,test,holdout,229,0
DMA023,2026-03-02,test,holdout,232,0
DMA024,2025-11-17,pre,exposed,243,0
DMA024,2025-11-24,pre,exposed,251,0
DMA024,2025-12-01,pre,exposed,273,0
DMA024,2025-12-08,pre,exposed,245,0
DMA024,2025-12-15,pre,exposed,273,0
DMA024,2025-12-22,pre,exposed,245,0
DMA024,2025-12-29,pre,exposed,237,0
DMA024,2026-01-05,pre,exposed,252,0
DMA024,2026-01-12,test,exposed,261,6189
DMA024,2026-01-19,test,exposed,285,9567
DMA024,2026-01-26,test,exposed,294,8129
DMA024,2026-02-02,test,exposed,291,9644
DMA024,2026-02-09,test,exposed,281,8950
DMA024,2026-02-16,test,exposed,281,8504
DMA024,2026-02-23,test,exposed,263,8506
DMA024,2026-03-02,test,exposed,303,7031
DMA025,2025-11-17,pre,exposed,431,0
DMA025,2025-11-24,pre,exposed,377,0
DMA025,2025-12-01,pre,exposed,470,0
DMA025,2025-12-08,pre,exposed,423,0
DMA025,2025-12-15,pre,exposed,463,0
DMA025,2025-12-22,pre,exposed,422,0
DMA025,2025-12-29,pre,exposed,405,0
DMA025,2026-01-05,pre,exposed,415,0
DMA025,2026-01-12,test,exposed,439,10137
DMA025,2026-01-19,test,exposed,496,15671
DMA025,2026-01-26,test,exposed,511,13315
DMA025,2026-02-02,test,exposed,513,15797
DMA025,2026-02-09,test,exposed,526,14661
DMA025,2026-02-16,test,exposed,485,13930
DMA025,2026-02-23,test,exposed,446,13933
DMA025,2026-03-02,test,exposed,524,11517
DMA026,2025-11-17,pre,exposed,573,0
DMA026,2025-11-24,pre,exposed,574,0
DMA026,2025-12-01,pre,exposed,605,0
DMA026,2025-12-08,pre,exposed,558,0
DMA026,2025-12-15,pre,exposed,621,0
DMA026,2025-12-22,pre,exposed,543,0
DMA026,2025-12-29,pre,exposed,554,0
DMA026,2026-01-05,pre,exposed,560,0
DMA026,2026-01-12,test,exposed,605,13814
DMA026,2026-01-19,test,exposed,611,21355
DMA026,2026-01-26,test,exposed,670,18145
DMA026,2026-02-02,test,exposed,642,21527
DMA026,2026-02-09,test,exposed,621,19979
DMA026,2026-02-16,test,exposed,631,18983
DMA026,2026-02-23,test,exposed,624,18987
DMA026,2026-03-02,test,exposed,626,15694
DMA027,2025-11-17,pre,exposed,60,0
DMA027,2025-11-24,pre,exposed,60,0
DMA027,2025-12-01,pre,exposed,64,0
DMA027,2025-12-08,pre,exposed,63,0
DMA027,2025-12-15,pre,exposed,67,0
DMA027,2025-12-22,pre,exposed,65,0
DMA027,2025-12-29,pre,exposed,63,0
DMA027,2026-01-05,pre,exposed,64,0
DMA027,2026-01-12,test,exposed,66,1486
DMA027,2026-01-19,test,exposed,73,2297
DMA027,2026-01-26,test,exposed,74,1952
DMA027,2026-02-02,test,exposed,72,2316
DMA027,2026-02-09,test,exposed,72,2149
DMA027,2026-02-16,test,exposed,70,2042
DMA027,2026-02-23,test,exposed,67,2042
DMA027,2026-03-02,test,exposed,71,1688
DMA028,2025-11-17,pre,exposed,281,0
DMA028,2025-11-24,pre,exposed,288,0
DMA028,2025-12-01,pre,exposed,297,0
DMA028,2025-12-08,pre,exposed,293,0
DMA028,2025-12-15,pre,exposed,326,0
DMA028,2025-12-22,pre,exposed,296,0
DMA028,2025-12-29,pre,exposed,291,0
DMA028,2026-01-05,pre,exposed,280,0
DMA028,2026-01-12,test,exposed,285,6809
DMA028,2026-01-19,test,exposed,327,10526
DMA028,2026-01-26,test,exposed,337,8943
DMA028,2026-02-02,test,exposed,330,10611
DMA028,2026-02-09,test,exposed,348,9847
DMA028,2026-02-16,test,exposed,332,9357
DMA028,2026-02-23,test,exposed,324,9358
DMA028,2026-03-02,test,exposed,337,7736
DMA029,2025-11-17,pre,exposed,299,0
DMA029,2025-11-24,pre,exposed,298,0
DMA029,2025-12-01,pre,exposed,321,0
DMA029,2025-12-08,pre,exposed,303,0
DMA029,2025-12-15,pre,exposed,325,0
DMA029,2025-12-22,pre,exposed,320,0
DMA029,2025-12-29,pre,exposed,292,0
DMA029,2026-01-05,pre,exposed,295,0
DMA029,2026-01-12,test,exposed,325,7315
DMA029,2026-01-19,test,exposed,353,11309
DMA029,2026-01-26,test,exposed,341,9609
DMA029,2026-02-02,test,exposed,344,11400
DMA029,2026-02-09,test,exposed,377,10580
DMA029,2026-02-16,test,exposed,362,10053
DMA029,2026-02-23,test,exposed,335,10055
DMA029,2026-03-02,test,exposed,371,8311
DMA030,2025-11-17,pre,exposed,665,0
DMA030,2025-11-24,pre,exposed,652,0
DMA030,2025-12-01,pre,exposed,678,0
DMA030,2025-12-08,pre,exposed,579,0
DMA030,2025-12-15,pre,exposed,685,0
DMA030,2025-12-22,pre,exposed,652,0
DMA030,2025-12-29,pre,exposed,637,0
DMA030,2026-01-05,pre,exposed,671,0
DMA030,2026-01-12,test,exposed,692,15951
DMA030,2026-01-19,test,exposed,734,24659
DMA030,2026-01-26,test,exposed,772,20952
DMA030,2026-02-02,test,exposed,788,24858
DMA030,2026-02-09,test,exposed,764,23070
DMA030,2026-02-16,test,exposed,760,21920
DMA030,2026-02-23,test,exposed,689,21924
DMA030,2026-03-02,test,exposed,758,18122
DMA031,2025-11-17,pre,holdout,137,0
DMA031,2025-11-24,pre,holdout,142,0
DMA031,2025-12-01,pre,holdout,157,0
DMA031,2025-12-08,pre,holdout,142,0
DMA031,2025-12-15,pre,holdout,163,0
DMA031,2025-12-22,pre,holdout,143,0
DMA031,2025-12-29,pre,holdout,142,0
DMA031,2026-01-05,pre,holdout,146,0
DMA031,2026-01-12,test,holdout,145,0
DMA031,2026-01-19,test,holdout,158,0
DMA031,2026-01-26,test,holdout,160,0
DMA031,2026-02-02,test,holdout,153,0
DMA031,2026-02-09,test,holdout,146,0
DMA031,2026-02-16,test,holdout,138,0
DMA031,2026-02-23,test,holdout,138,0
DMA031,2026-03-02,test,holdout,152,0
DMA032,2025-11-17,pre,holdout,346,0
DMA032,2025-11-24,pre,holdout,332,0
DMA032,2025-12-01,pre,holdout,357,0
DMA032,2025-12-08,pre,holdout,335,0
DMA032,2025-12-15,pre,holdout,363,0
DMA032,2025-12-22,pre,holdout,357,0
DMA032,2025-12-29,pre,holdout,326,0
DMA032,2026-01-05,pre,holdout,327,0
DMA032,2026-01-12,test,holdout,374,0
DMA032,2026-01-19,test,holdout,352,0
DMA032,2026-01-26,test,holdout,366,0
DMA032,2026-02-02,test,holdout,319,0
DMA032,2026-02-09,test,holdout,326,0
DMA032,2026-02-16,test,holdout,312,0
DMA032,2026-02-23,test,holdout,302,0
DMA032,2026-03-02,test,holdout,334,0
DMA033,2025-11-17,pre,holdout,104,0
DMA033,2025-11-24,pre,holdout,105,0
DMA033,2025-12-01,pre,holdout,113,0
DMA033,2025-12-08,pre,holdout,103,0
DMA033,2025-12-15,pre,holdout,117,0
DMA033,2025-12-22,pre,holdout,110,0
DMA033,2025-12-29,pre,holdout,108,0
DMA033,2026-01-05,pre,holdout,109,0
DMA033,2026-01-12,test,holdout,109,0
DMA033,2026-01-19,test,holdout,107,0
DMA033,2026-01-26,test,holdout,106,0
DMA033,2026-02-02,test,holdout,103,0
DMA033,2026-02-09,test,holdout,108,0
DMA033,2026-02-16,test,holdout,98,0
DMA033,2026-02-23,test,holdout,91,0
DMA033,2026-03-02,test,holdout,107,0
DMA034,2025-11-17,pre,exposed,243,0
DMA034,2025-11-24,pre,exposed,236,0
DMA034,2025-12-01,pre,exposed,246,0
DMA034,2025-12-08,pre,exposed,247,0
DMA034,2025-12-15,pre,exposed,269,0
DMA034,2025-12-22,pre,exposed,240,0
DMA034,2025-12-29,pre,exposed,241,0
DMA034,2026-01-05,pre,exposed,243,0
DMA034,2026-01-12,test,exposed,245,5372
DMA034,2026-01-19,test,exposed,286,8305
DMA034,2026-01-26,test,exposed,274,7056
DMA034,2026-02-02,test,exposed,292,8372
DMA034,2026-02-09,test,exposed,278,7769
DMA034,2026-02-16,test,exposed,256,7382
DMA034,2026-02-23,test,exposed,262,7384
DMA034,2026-03-02,test,exposed,294,6103
DMA035,2025-11-17,pre,holdout,102,0
DMA035,2025-11-24,pre,holdout,95,0
DMA035,2025-12-01,pre,holdout,97,0
DMA035,2025-12-08,pre,holdout,100,0
DMA035,2025-12-15,pre,holdout,112,0
DMA035,2025-12-22,pre,holdout,102,0
DMA035,2025-12-29,pre,holdout,101,0
DMA035,2026-01-05,pre,holdout,95,0
DMA035,2026-01-12,test,holdout,97,0
DMA035,2026-01-19,test,holdout,104,0
DMA035,2026-01-26,test,holdout,105,0
DMA035,2026-02-02,test,holdout,105,0
DMA035,2026-02-09,test,holdout,100,0
DMA035,2026-02-16,test,holdout,94,0
DMA035,2026-02-23,test,holdout,92,0
DMA035,2026-03-02,test,holdout,101,0
DMA036,2025-11-17,pre,exposed,249,0
DMA036,2025-11-24,pre,exposed,251,0
DMA036,2025-12-01,pre,exposed,264,0
DMA036,2025-12-08,pre,exposed,241,0
DMA036,2025-12-15,pre,exposed,257,0
DMA036,2025-12-22,pre,exposed,263,0
DMA036,2025-12-29,pre,exposed,232,0
DMA036,2026-01-05,pre,exposed,241,0
DMA036,2026-01-12,test,exposed,253,5962
DMA036,2026-01-19,test,exposed,268,9217
DMA036,2026-01-26,test,exposed,279,7831
DMA036,2026-02-02,test,exposed,280,9291
DMA036,2026-02-09,test,exposed,287,8623
DMA036,2026-02-16,test,exposed,290,8193
DMA036,2026-02-23,test,exposed,272,8194
DMA036,2026-03-02,test,exposed,284,6773
DMA037,2025-11-17,pre,exposed,280,0
DMA037,2025-11-24,pre,exposed,267,0
DMA037,2025-12-01,pre,exposed,284,0
DMA037,2025-12-08,pre,exposed,278,0
DMA037,2025-12-15,pre,exposed,294,0
DMA037,2025-12-22,pre,exposed,260,0
DMA037,2025-12-29,pre,exposed,270,0
DMA037,2026-01-05,pre,exposed,285,0
DMA037,2026-01-12,test,exposed,287,6374
DMA037,2026-01-19,test,exposed,303,9854
DMA037,2026-01-26,test,exposed,342,8373
DMA037,2026-02-02,test,exposed,311,9933
DMA037,2026-02-09,test,exposed,312,9219
DMA037,2026-02-16,test,exposed,296,8760
DMA037,2026-02-23,test,exposed,296,8761
DMA037,2026-03-02,test,exposed,327,7242
DMA038,2025-11-17,pre,exposed,245,0
DMA038,2025-11-24,pre,exposed,227,0
DMA038,2025-12-01,pre,exposed,241,0
DMA038,2025-12-08,pre,exposed,237,0
DMA038,2025-12-15,pre,exposed,265,0
DMA038,2025-12-22,pre,exposed,245,0
DMA038,2025-12-29,pre,exposed,231,0
DMA038,2026-01-05,pre,exposed,240,0
DMA038,2026-01-12,test,exposed,261,5440
DMA038,2026-01-19,test,exposed,248,8409
DMA038,2026-01-26,test,exposed,288,7145
DMA038,2026-02-02,test,exposed,255,8477
DMA038,2026-02-09,test,exposed,263,7867
DMA038,2026-02-16,test,exposed,250,7475
DMA038,2026-02-23,test,exposed,247,7476
DMA038,2026-03-02,test,exposed,279,6180
DMA039,2025-11-17,pre,exposed,284,0
