pharmacy_id,zip3,pharmacy_type,ownership,weekly_total_trx
PH0116,104,Retail,Chain,707
PH0117,104,Retail,Chain,354
PH0119,104,Retail,Chain,658
PH0121,104,Retail,Chain,608
PH0124,104,Retail,Chain,678
PH0125,104,Retail,Independent,107
PH0129,104,Retail,Chain,277
PH0133,104,Retail,Independent,302
PH0134,104,Retail,Chain,556
PH0136,104,Specialty,Chain,236
PH0137,104,Specialty,Chain,348
PH0138,104,Specialty,Chain,277
PH0139,104,Specialty,Chain,373
PH0140,112,Retail,Chain,236
PH0142,112,Retail,Chain,719
PH0143,112,Retail,Independent,108
PH0144,112,Retail,Chain,367
PH0146,112,Retail,Chain,761
PH0147,112,Retail,Chain,725
PH0148,112,Retail,Independent,159
PH0152,112,Retail,Chain,1012
PH0154,112,Retail,Chain,708
PH0156,112,Retail,Independent,183
PH0158,112,Retail,Chain,473
PH0161,112,Retail,Independent,372
PH0164,112,Retail,Chain,496
PH0165,112,Retail,Chain,375
PH0166,112,Retail,Chain,327
PH0167,112,Retail,Independent,631
PH0168,112,Retail,Chain,1392
PH0170,112,Retail,Chain,373
PH0171,112,Retail,Chain,377
PH0172,112,Retail,Chain,636
PH0173,112,Retail,Chain,354
PH0174,112,Retail,Chain,407
PH0175,112,Retail,Independent,330
PH0176,112,Retail,Chain,396
PH0177,112,Retail,Chain,518
PH0178,112,Retail,Chain,688
PH0182,112,Retail,Chain,417
PH0183,112,Retail,Independent,259
PH0185,112,Retail,Chain,569
PH0187,112,Retail,Chain,724
PH0189,112,Retail,Chain,349
PH0190,112,Retail,Chain,317
PH0193,112,Retail,Independent,202
PH0194,112,Retail,Chain,546
PH0195,112,Retail,Chain,417
PH0198,112,Retail,Chain,428
PH0200,112,Retail,Chain,1206
PH0201,112,Retail,Chain,372
PH0202,112,Retail,Chain,518
PH0203,112,Retail,Independent,190
PH0206,112,Retail,Chain,970
PH0208,112,Retail,Chain,356
PH0209,112,Retail,Chain,640
PH0210,112,Retail,Chain,377
PH0213,112,Retail,Chain,721
PH0215,112,Retail,Chain,601
PH0217,112,Specialty,Chain,358
PH0219,070,Retail,Chain,593
PH0220,070,Retail,Chain,766
PH0222,070,Retail,Chain,558
PH0224,070,Retail,Chain,221
PH0225,070,Retail,Chain,1425
PH0226,070,Retail,Chain,555
PH0228,070,Retail,Chain,165
PH0229,070,Retail,Chain,418
PH0231,070,Retail,Chain,411
PH0232,070,Retail,Chain,284
PH0233,070,Retail,Chain,605
PH0235,070,Retail,Chain,617
PH0237,070,Retail,Chain,441
PH0238,070,Retail,Chain,1311
PH0239,070,Retail,Chain,748
PH0241,070,Retail,Chain,663
PH0242,070,Retail,Chain,843
PH0243,070,Retail,Chain,402
PH0244,070,Retail,Chain,391
PH0249,070,Retail,Chain,1274
PH0252,070,Retail,Independent,73
PH0253,070,Retail,Independent,69
PH0254,070,Retail,Chain,1045
PH0255,070,Retail,Chain,341
PH0256,070,Retail,Chain,1092
PH0263,070,Retail,Independent,194
PH0264,070,Retail,Chain,271
PH0267,070,Retail,Chain,426
PH0268,070,Retail,Independent,101
PH0272,070,Specialty,Chain,331
PH0273,115,Retail,Chain,735
PH0275,115,Retail,Independent,179
PH0276,115,Retail,Chain,710
PH0277,115,Retail,Chain,386
PH0283,115,Retail,Chain,395
PH0284,115,Retail,Chain,1363
PH0285,115,Retail,Chain,233
PH0286,115,Retail,Independent,268
PH0288,115,Retail,Chain,877
PH0289,115,Retail,Chain,581
PH0290,115,Retail,Chain,378
PH0292,115,Retail,Chain,983
PH0294,115,Retail,Chain,1128
PH0296,115,Retail,Independent,333
PH0297,115,Retail,Chain,720
PH0298,115,Retail,Chain,377
PH0299,115,Retail,Chain,434
PH0300,115,Retail,Independent,256
PH0301,115,Retail,Chain,658
PH0302,115,Retail,Chain,297
PH0303,115,Retail,Independent,63
PH0306,115,Retail,Chain,354
PH0307,115,Retail,Independent,125
PH0308,115,Retail,Chain,260
PH0309,115,Retail,Chain,840
PH0310,115,Retail,Chain,731
PH0311,115,Retail,Chain,293
PH0312,115,Retail,Chain,569
PH0314,115,Retail,Chain,714
PH0316,115,Retail,Chain,596
PH0321,115,Retail,Independent,179
PH0322,115,Retail,Chain,720
PH0323,115,Retail,Independent,184
PH0325,115,Retail,Chain,670
PH0327,115,Specialty,Chain,428
PH0328,117,Retail,Chain,969
PH0332,117,Retail,Chain,388
PH0334,117,Retail,Chain,1007
PH0335,117,Retail,Chain,701
PH0336,117,Retail,Chain,737
PH0337,117,Retail,Chain,521
PH0339,117,Retail,Chain,1579
PH0342,117,Retail,Chain,391
PH0343,117,Retail,Chain,455
PH0349,117,Retail,Chain,893
PH0351,117,Retail,Independent,155
PH0352,117,Retail,Independent,178
PH0353,117,Retail,Chain,621
PH0354,117,Retail,Chain,723
PH0355,117,Retail,Chain,549
PH0357,117,Retail,Chain,1124
PH0361,117,Retail,Independent,204
PH0362,117,Retail,Chain,247
PH0364,117,Retail,Independent,113
PH0366,117,Retail,Chain,300
PH0367,117,Retail,Chain,738
PH0368,117,Retail,Chain,592
PH0369,117,Retail,Chain,496
PH0371,117,Retail,Independent,199
PH0372,117,Retail,Chain,453
PH0374,117,Retail,Chain,540
PH0375,117,Retail,Chain,427
PH0376,117,Retail,Chain,1180
PH0377,117,Retail,Chain,257
PH0378,117,Retail,Chain,221
PH0381,117,Retail,Chain,179
PH0386,MAIL,Mail,PBM-owned,4276
